City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
147,ridgetown,CA,2022-06-02 21:59:20,42.4334,-81.8998,67.86,47,37,6.93,scattered clouds,0.0,0
148,hualmay,PE,2022-06-02 22:00:02,-11.0964,-77.6139,66.33,75,82,9.73,broken clouds,0.0,0
149,souillac,MU,2022-06-02 22:00:03,-20.5167,57.5167,72.21,76,8,9.42,clear sky,0.0,0
150,adrar,MR,2022-06-02 22:00:04,20.5022,-10.0711,93.04,20,100,18.61,overcast clouds,0.0,0
151,korla,CN,2022-06-02 22:00:06,41.7597,86.1469,67.8,36,6,15.75,clear sky,0.0,0
152,hovd,MN,2022-06-02 22:00:06,48.0056,91.6419,45.84,49,0,3.67,clear sky,0.0,0
153,camopi,GF,2022-06-02 22:00:07,3.1655,-52.3158,72.32,99,100,2.1,overcast clouds,0.0,0
154,georgetown,MY,2022-06-02 22:00:08,5.4112,100.3354,80.53,89,20,0.0,light rain,0.0,0
155,sawtell,AU,2022-06-02 22:00:09,-30.3833,153.1,54.19,76,75,1.14,broken clouds,0.0,0
156,cape coast,GH,2022-06-02 22:00:10,5.1053,-1.2466,79.84,85,64,11.05,broken clouds,0.0,0
157,tshane,BW,2022-06-02 22:00:11,-24.0196,21.8684,53.08,34,0,8.9,clear sky,0.0,0
158,kutum,SD,2022-06-02 21:58:55,14.2,24.6667,82.45,16,88,13.2,overcast clouds,0.0,0
159,hamilton,US,2022-06-02 22:00:00,39.1834,-84.5333,77.16,60,87,5.01,overcast clouds,0.0,0
160,ust-omchug,RU,2022-06-02 22:00:24,61.15,149.6333,53.17,71,38,3.67,scattered clouds,0.0,0
161,naushki,RU,2022-06-02 22:00:24,50.3828,106.1056,55.45,84,72,4.27,broken clouds,0.0,0
162,kalengwa,ZM,2022-06-02 22:00:24,-13.4659,25.0027,56.25,60,0,9.82,clear sky,0.0,0
163,najran,SA,2022-06-02 22:00:25,17.4924,44.1277,75.52,13,46,3.76,scattered clouds,0.0,0
164,nanortalik,GL,2022-06-02 22:00:26,60.1432,-45.2371,40.86,78,14,1.54,few clouds,0.0,0
165,waitati,NZ,2022-06-02 22:00:26,-45.75,170.5667,47.8,71,100,13.35,overcast clouds,0.0,0
166,sume,BR,2022-06-02 22:00:26,-7.6717,-36.88,72.79,85,100,7.0,overcast clouds,0.0,0
167,vrangel,RU,2022-06-02 22:00:27,42.7297,133.0839,49.95,94,100,9.1,overcast clouds,0.0,0
168,kahului,US,2022-06-02 22:00:27,20.8947,-156.47,80.96,88,7,11.99,clear sky,0.0,0
169,sawakin,SD,2022-06-02 22:00:27,19.1059,37.3321,86.0,41,3,4.68,clear sky,0.0,0
170,voineasa,RO,2022-06-02 22:00:28,44.2833,24.1333,70.2,78,0,4.61,clear sky,0.0,0
171,palimbang,PH,2022-06-02 22:00:28,6.2106,124.1894,77.83,81,81,3.91,broken clouds,0.0,0
172,tasiilaq,GL,2022-06-02 21:57:44,65.6145,-37.6368,32.05,88,66,2.8,broken clouds,0.0,0
173,namibe,AO,2022-06-02 22:00:29,-15.1961,12.1522,73.18,73,8,4.74,clear sky,0.0,0
174,hilo,US,2022-06-02 22:00:29,19.7297,-155.09,89.28,81,23,5.99,few clouds,0.0,0
175,nikolskoye,RU,2022-06-02 22:00:29,59.7035,30.7861,57.7,90,99,5.53,light rain,0.0,0
176,matadi,CD,2022-06-02 22:00:30,-5.8167,13.45,75.18,81,18,3.11,few clouds,0.0,0
177,umm kaddadah,SD,2022-06-02 22:00:30,13.6017,26.6876,83.77,18,9,8.5,clear sky,0.0,0
178,mandalgovi,MN,2022-06-02 22:00:31,45.7625,106.2708,61.5,44,98,3.98,overcast clouds,0.0,0
179,vilhena,BR,2022-06-02 22:00:19,-12.7406,-60.1458,76.62,61,100,0.81,overcast clouds,0.0,0
180,hofn,IS,2022-06-02 22:00:31,64.2539,-15.2082,50.94,82,100,11.88,overcast clouds,0.0,0
181,tazovskiy,RU,2022-06-02 22:00:32,67.4667,78.7,31.24,84,98,16.24,overcast clouds,0.0,0
182,chancay,PE,2022-06-02 22:00:32,-11.5714,-77.2672,64.89,78,79,6.98,broken clouds,0.0,0
183,marawi,PH,2022-06-02 22:00:32,7.9986,124.2928,68.32,91,99,1.81,overcast clouds,0.0,0
184,jiuquan,CN,2022-06-02 22:00:33,39.7432,98.5174,62.64,62,100,6.38,overcast clouds,0.0,0
185,berdigestyakh,RU,2022-06-02 22:00:33,62.0989,126.6992,58.71,79,8,7.07,clear sky,0.0,0
186,faanui,PF,2022-06-02 22:00:34,-16.4833,-151.75,78.28,79,96,13.06,moderate rain,0.0,0
187,mogadishu,SO,2022-06-02 22:00:34,2.0371,45.3438,79.25,78,58,17.18,broken clouds,0.0,0
188,longyearbyen,SJ,2022-06-02 22:00:34,78.2186,15.6401,42.64,75,20,17.27,few clouds,0.0,0
189,ponta delgada,PT,2022-06-02 22:00:35,37.7333,-25.6667,63.32,94,75,10.36,broken clouds,0.0,0
190,broome,US,2022-06-02 22:00:35,42.2506,-75.833,75.18,52,100,5.01,overcast clouds,0.0,0
191,bani,DO,2022-06-02 22:00:35,18.2833,-70.3333,83.86,68,83,8.39,broken clouds,0.0,0
192,funtua,NG,2022-06-02 22:00:36,11.5233,7.3081,80.8,32,20,5.39,few clouds,0.0,0
193,luderitz,NA,2022-06-02 22:00:36,-26.6481,15.1594,65.57,35,0,6.06,clear sky,0.0,0
194,tari,NG,2022-06-02 22:00:36,12.4086,4.4914,94.3,22,55,5.5,broken clouds,0.0,0
195,shieli,KZ,2022-06-02 22:00:37,44.1667,66.75,71.94,31,100,10.4,light rain,0.0,0
196,ancud,CL,2022-06-02 22:00:37,-41.8697,-73.8203,44.22,77,100,5.82,overcast clouds,0.0,0
197,doctor juan manuel frutos,PY,2022-06-02 22:00:37,-25.3667,-55.8,49.89,95,40,4.52,scattered clouds,0.0,0
198,arlit,NE,2022-06-02 22:00:38,18.7369,7.3853,94.68,10,46,17.52,scattered clouds,0.0,0
199,east london,ZA,2022-06-02 22:00:23,-33.0153,27.9116,57.54,72,3,4.52,clear sky,0.0,0
200,aquiraz,BR,2022-06-02 22:00:38,-3.9014,-38.3911,78.19,89,88,5.35,overcast clouds,0.0,0
201,cairns,AU,2022-06-02 21:59:17,-16.9167,145.7667,71.55,91,40,4.61,scattered clouds,0.0,0
202,faya,SA,2022-06-02 22:00:39,18.3851,42.4509,68.77,14,1,7.38,clear sky,0.0,0
203,san marcos,US,2022-06-02 22:00:39,33.1434,-117.1661,88.79,65,40,8.05,scattered clouds,0.0,0
204,yellowknife,CA,2022-06-02 22:00:39,62.456,-114.3525,62.56,33,75,13.0,broken clouds,0.0,0
205,plouzane,FR,2022-06-02 22:00:40,48.3833,-4.6167,64.45,73,0,5.75,clear sky,0.0,0
206,katsuura,JP,2022-06-02 22:00:40,35.1333,140.3,71.11,79,28,14.34,scattered clouds,0.0,0
207,touros,BR,2022-06-02 22:00:40,-5.1989,-35.4608,77.83,82,93,7.14,overcast clouds,0.0,0
208,portree,GB,2022-06-02 21:57:19,57.4129,-6.1942,51.53,86,94,6.35,overcast clouds,0.0,0
209,karratha,AU,2022-06-02 22:00:41,-20.7377,116.8463,61.68,69,7,14.12,clear sky,0.0,0
210,bloemfontein,ZA,2022-06-02 21:59:05,-29.1211,26.214,31.48,74,0,1.14,clear sky,0.0,0
