City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,Mackay,-21.15,149.2,73.69,89,98,15.14,AU,2022-05-07 18:04:13
205,Port Hedland,-20.3167,118.5667,71.65,68,2,6.91,AU,2022-05-07 18:04:14
206,Tiznit,29.5833,-9.5,83.21,16,49,9.06,MA,2022-05-07 18:04:14
207,Lompoc,34.6391,-120.4579,71.85,69,0,24.16,US,2022-05-07 18:04:15
208,Bundibugyo,0.7414,30.0417,70.81,75,68,3.51,UG,2022-05-07 18:04:15
209,Mahebourg,-20.4081,57.7,78.26,88,40,9.22,MU,2022-05-07 18:04:16
210,Los Angeles,34.0522,-118.2437,79.05,64,0,10.36,US,2022-05-07 18:01:53
211,Athabasca,54.7169,-113.2854,45.23,63,94,16.8,CA,2022-05-07 18:04:17
212,Latung,5.5,120.8833,82.94,79,97,5.86,PH,2022-05-07 18:04:17
213,Santa Lucia,27.9117,-15.5407,68.76,68,20,26.46,ES,2022-05-07 18:04:18
214,Vao,-22.6667,167.4833,74.35,61,44,20.24,NC,2022-05-07 18:04:18
215,Lima,-12.0432,-77.0282,73.38,80,62,1.01,PE,2022-05-07 18:00:56
216,Coolum Beach,-26.5333,153.1,66.22,91,92,8.7,AU,2022-05-07 18:04:19
217,Littleton,39.6133,-105.0166,87.15,14,95,11.01,US,2022-05-07 18:01:35
218,Berlevag,70.8578,29.0864,39.0,81,20,29.93,NO,2022-05-07 18:04:19
219,Pemangkat,1.1667,108.9667,78.96,87,100,3.89,ID,2022-05-07 18:04:20
220,Cockburn Town,21.4612,-71.1419,82.36,65,40,13.8,TC,2022-05-07 18:04:20
221,Amet,25.3,73.9333,88.5,16,3,6.6,IN,2022-05-07 18:04:21
222,Kaeo,-35.1,173.7833,52.32,95,93,4.16,NZ,2022-05-07 18:04:21
223,Biscarrosse,44.3945,-1.1672,64.35,68,0,12.66,FR,2022-05-07 18:04:22
224,Alofi,-19.0595,-169.9187,80.1,76,47,8.23,NU,2022-05-07 18:04:22
